# ICC Profile MPE CurveSet Export
# Tag: AToB1Tag
# Element: 0
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.039560441	0.003061954	0.003061954	0.003061954
0.039804641	0.003080855	0.003080855	0.003080855
0.040048841	0.003099756	0.003099756	0.003099756
0.040293042	0.003118657	0.003118657	0.003118657
0.040537242	0.003137678	0.003137678	0.003137678
0.040781442	0.003156961	0.003156961	0.003156961
0.041025642	0.003176313	0.003176313	0.003176313
0.041269843	0.003195734	0.003195734	0.003195734
0.041514043	0.003215224	0.003215224	0.003215224
0.041758243	0.003234783	0.003234783	0.003234783
0.042002443	0.003254411	0.003254411	0.003254411
0.042246643	0.003274109	0.003274109	0.003274109
0.042490844	0.003293875	0.003293875	0.003293875
0.042735044	0.003313712	0.003313712	0.003313712
0.042979244	0.003333618	0.003333618	0.003333618
0.043223444	0.003353592	0.003353592	0.003353592
0.043467645	0.003373638	0.003373638	0.003373638
0.043711845	0.003393753	0.003393753	0.003393753
0.043956045	0.003413937	0.003413937	0.003413937
0.044200245	0.003434192	0.003434192	0.003434192
0.044444446	0.003454516	0.003454516	0.003454516
0.044688646	0.003474910	0.003474910	0.003474910
0.044932846	0.003495375	0.003495375	0.003495375
0.045177046	0.003515910	0.003515910	0.003515910
0.045421246	0.003536514	0.003536514	0.003536514
0.045665447	0.003557190	0.003557190	0.003557190
0.045909647	0.003577935	0.003577935	0.003577935
0.046153847	0.003598750	0.003598750	0.003598750
0.046398047	0.003619637	0.003619637	0.003619637
0.046642248	0.003640594	0.003640594	0.003640594
0.046886448	0.003661621	0.003661621	0.003661621
0.047130648	0.003682719	0.003682719	0.003682719
0.047374848	0.003703887	0.003703887	0.003703887
0.047619049	0.003725127	0.003725127	0.003725127
0.047863249	0.003746438	0.003746438	0.003746438
0.048107449	0.003767819	0.003767819	0.003767819
0.048351649	0.003789272	0.003789272	0.003789272
0.048595849	0.003810795	0.003810795	0.003810795
0.048840050	0.003832390	0.003832390	0.003832390
0.049084250	0.003854056	0.003854056	0.003854056
0.049328450	0.003875793	0.003875793	0.003875793
0.049572650	0.003897601	0.003897601	0.003897601
0.049816851	0.003919482	0.003919482	0.003919482
0.050061051	0.003941433	0.003941433	0.003941433
0.050305251	0.003963456	0.003963456	0.003963456
0.050549451	0.003985551	0.003985551	0.003985551
0.050793651	0.004007717	0.004007717	0.004007717
0.051037852	0.004029955	0.004029955	0.004029955
0.051282052	0.004052265	0.004052265	0.004052265
0.051526252	0.004074647	0.004074647	0.004074647
0.051770452	0.004097100	0.004097100	0.004097100
0.052014653	0.004119626	0.004119626	0.004119626
0.052258853	0.004142223	0.004142223	0.004142223
0.052503053	0.004164893	0.004164893	0.004164893
0.052747253	0.004187636	0.004187636	0.004187636
0.052991454	0.004210449	0.004210449	0.004210449
0.053235654	0.004233337	0.004233337	0.004233337
0.053479854	0.004256296	0.004256296	0.004256296
0.053724054	0.004279327	0.004279327	0.004279327
0.053968254	0.004302431	0.004302431	0.004302431
0.054212455	0.004325608	0.004325608	0.004325608
0.054456655	0.004348857	0.004348857	0.004348857
0.054700855	0.004372180	0.004372180	0.004372180
0.054945055	0.004395575	0.004395575	0.004395575
0.055189256	0.004419042	0.004419042	0.004419042
0.055433456	0.004442583	0.004442583	0.004442583
0.055677656	0.004466197	0.004466197	0.004466197
0.055921856	0.004489883	0.004489883	0.004489883
0.056166057	0.004513644	0.004513644	0.004513644
0.056410257	0.004537477	0.004537477	0.004537477
0.056654457	0.004561383	0.004561383	0.004561383
0.056898657	0.004585363	0.004585363	0.004585363
0.057142857	0.004609415	0.004609415	0.004609415
0.057387058	0.004633542	0.004633542	0.004633542
0.057631258	0.004657743	0.004657743	0.004657743
0.057875458	0.004682015	0.004682015	0.004682015
0.058119658	0.004706363	0.004706363	0.004706363
0.058363859	0.004730783	0.004730783	0.004730783
0.058608059	0.004755278	0.004755278	0.004755278
0.058852259	0.004779846	0.004779846	0.004779846
0.059096459	0.004804489	0.004804489	0.004804489
0.059340660	0.004829205	0.004829205	0.004829205
0.059584860	0.004853996	0.004853996	0.004853996
0.059829060	0.004878860	0.004878860	0.004878860
0.060073260	0.004903798	0.004903798	0.004903798
0.060317460	0.004928811	0.004928811	0.004928811
0.060561661	0.004953898	0.004953898	0.004953898
0.060805861	0.004979059	0.004979059	0.004979059
0.061050061	0.005004295	0.005004295	0.005004295
0.061294261	0.005029604	0.005029604	0.005029604
0.061538462	0.005054989	0.005054989	0.005054989
0.061782662	0.005080449	0.005080449	0.005080449
0.062026862	0.005105982	0.005105982	0.005105982
0.062271062	0.005131591	0.005131591	0.005131591
0.062515266	0.005157275	0.005157275	0.005157275
0.062759466	0.005183033	0.005183033	0.005183033
0.063003667	0.005208866	0.005208866	0.005208866
0.063247867	0.005234774	0.005234774	0.005234774
0.063492067	0.005260757	0.005260757	0.005260757
0.063736267	0.005286815	0.005286815	0.005286815
0.063980468	0.005312948	0.005312948	0.005312948
0.064224668	0.005339157	0.005339157	0.005339157
0.064468868	0.005365440	0.005365440	0.005365440
0.064713068	0.005391800	0.005391800	0.005391800
0.064957269	0.005418233	0.005418233	0.005418233
0.065201469	0.005444744	0.005444744	0.005444744
0.065445669	0.005471330	0.005471330	0.005471330
0.065689869	0.005497989	0.005497989	0.005497989
0.065934069	0.005524727	0.005524727	0.005524727
0.066178270	0.005551539	0.005551539	0.005551539
0.066422470	0.005578426	0.005578426	0.005578426
0.066666670	0.005605391	0.005605391	0.005605391
0.066910870	0.005632431	0.005632431	0.005632431
0.067155071	0.005659545	0.005659545	0.005659545
0.067399271	0.005686738	0.005686738	0.005686738
0.067643471	0.005714004	0.005714004	0.005714004
0.067887671	0.005741348	0.005741348	0.005741348
0.068131872	0.005768769	0.005768769	0.005768769
0.068376072	0.005796264	0.005796264	0.005796264
0.068620272	0.005823837	0.005823837	0.005823837
0.068864472	0.005851487	0.005851487	0.005851487
0.069108672	0.005879211	0.005879211	0.005879211
0.069352873	0.005907014	0.005907014	0.005907014
0.069597073	0.005934892	0.005934892	0.005934892
0.069841273	0.005962846	0.005962846	0.005962846
0.070085473	0.005990878	0.005990878	0.005990878
0.070329674	0.006018987	0.006018987	0.006018987
0.070573874	0.006047171	0.006047171	0.006047171
0.070818074	0.006075433	0.006075433	0.006075433
