# ICC Profile MPE CurveSet Export
# Tag: BToA1Tag
# Element: 1
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.013186813	0.118771039	0.118771039	0.118771039
0.013431014	0.120104693	0.120104693	0.120104693
0.013675214	0.121424265	0.121424265	0.121424265
0.013919414	0.122730173	0.122730173	0.122730173
0.014163614	0.124022804	0.124022804	0.124022804
0.014407814	0.125302464	0.125302464	0.125302464
0.014652015	0.126569569	0.126569569	0.126569569
0.014896215	0.127824366	0.127824366	0.127824366
0.015140415	0.129067242	0.129067242	0.129067242
0.015384615	0.130298495	0.130298495	0.130298495
0.015628817	0.131518394	0.131518394	0.131518394
0.015873017	0.132727236	0.132727236	0.132727236
0.016117217	0.133925229	0.133925229	0.133925229
0.016361417	0.135112703	0.135112703	0.135112703
0.016605617	0.136289895	0.136289895	0.136289895
0.016849818	0.137457043	0.137457043	0.137457043
0.017094018	0.138614327	0.138614327	0.138614327
0.017338218	0.139762044	0.139762044	0.139762044
0.017582418	0.140900344	0.140900344	0.140900344
0.017826619	0.142029464	0.142029464	0.142029464
0.018070819	0.143149614	0.143149614	0.143149614
0.018315019	0.144260943	0.144260943	0.144260943
0.018559219	0.145363688	0.145363688	0.145363688
0.018803420	0.146457970	0.146457970	0.146457970
0.019047620	0.147544026	0.147544026	0.147544026
0.019291820	0.148621947	0.148621947	0.148621947
0.019536020	0.149691969	0.149691969	0.149691969
0.019780220	0.150754213	0.150754213	0.150754213
0.020024421	0.151808858	0.151808858	0.151808858
0.020268621	0.152855992	0.152855992	0.152855992
0.020512821	0.153895795	0.153895795	0.153895795
0.020757021	0.154928416	0.154928416	0.154928416
0.021001222	0.155953974	0.155953974	0.155953974
0.021245422	0.156972587	0.156972587	0.156972587
0.021489622	0.157984376	0.157984376	0.157984376
0.021733822	0.158989519	0.158989519	0.158989519
0.021978023	0.159988075	0.159988075	0.159988075
0.022222223	0.160980195	0.160980195	0.160980195
0.022466423	0.161965966	0.161965966	0.161965966
0.022710623	0.162945479	0.162945479	0.162945479
0.022954823	0.163918912	0.163918912	0.163918912
0.023199024	0.164886296	0.164886296	0.164886296
